Orig_Label,Annotate_medium
Glial cell|Glial cell of intestine|APOE+BCAN+ glial cell,Glial cell
Glial cell|Glial cell of intestine|CRYAB+PLAT+ glial cell,Glial cell
Glial cell|Glial cell of intestine|Cycling glial cell|G2/M phase glial cell,Glial cell
Glial cell|Glial cell of intestine|Cycling glial cell|S phase glial cell,Glial cell
Glial cell|Glial cell of intestine|Glia progenitor,Glial cell
Glial cell|Glial cell of intestine|MBP+MAL+AATK+ glial cell,Glial cell
Glial cell|Muller glia,Glial cell
Glial cell|Schwann cell,Glial cell
Immune cell|Erythrocyte/Megakaryocyte|Megakaryocyte|Platelet,Immune cell|Erythrocyte/Megakaryocyte|Megakaryocyte|Platelet
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Erythroblast|Early SOX4+ erythroblast,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Early SOX4+ erythroblast
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Erythroblast|Intermediate EPCAM+ erythroblast,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Intermediate EPCAM+ erythroblast
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Erythroblast|Late hemoglobin+ erythroblast|Cycling late hemoglobin+ erythroblast,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Late hemoglobin+ erythroblast
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Fetal HBG+ erythrocyte,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell
Immune cell|Lymphoid cell|B cell|B cell precursor|PreB cell|Cycling preB cell,Immune cell|Lymphoid cell|B cell|PreB cell
Immune cell|Lymphoid cell|B cell|B cell precursor|ProB cell|Cycling proB cell,Immune cell|Lymphoid cell|B cell|ProB cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Committed GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Cycling GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Dark zone GC B cell|Cycling DZ GC B cell|S phase DZ GC B cell|Histone high S phase DZ GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|DZ/LZ B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Light zone GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Non-cycling GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Pre-GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Memory B cell|Class-switched memory B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Memory B cell|FCRL4 memory B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Memory B cell|Unswitched memory B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|MTRNR2L1 B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Naive B cell|INF-activated naive B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Plasma cell|Plasma cell precursor,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Cycling B,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|T/NK cell|Cycling T/NK cell|Cycling T cell,Immune cell|Lymphoid cell|T/NK cell|Cycling T/NK cell
Immune cell|Lymphoid cell|T/NK cell|ILC|SLAMF1+XCL- ILC,Immune cell|Lymphoid cell|T/NK cell|ILC
Immune cell|Lymphoid cell|T/NK cell|ILC|SLAMF1-XCL+ ILC,Immune cell|Lymphoid cell|T/NK cell|ILC
Immune cell|Lymphoid cell|T/NK cell|NK cell|CD16 NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|CD56 NK cell|INF-activated CD56 NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|CD56 NK cell|GZMK NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|Tissue-resident NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|XCL1 NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|T cell|abT (entry) cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|Agonist T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Memory CD4 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Naive CD4 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Tfh cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Treg cell|Differentiating Treg cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|KLRB1 cytotoxic CD4 T,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|GZMK cytotoxic CD4 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|CD8aa+ T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
